title,author,price,ptime,publisher,edition,category1,category2
活着,余华,20,2012,作家出版社,平装,文学,小说
文城,余华,59,2021,北京十月文艺出版社,精装,文学,小说
克拉拉与太阳,石黑一雄,68,2021,上海译文出版社,精装,文学,小说
白夜行,东野圭吾,39,2013,南海出版公司,精装,文学,小说
字母表谜案,大山诚一郎,42,2021,河南文艺出版社,平装,文学,小说
房思琪的初恋乐园,大山诚一郎,42,2021,北京联合出版公司,平装,文学,小说
暗夜与黎明,肯·福莱特,118,2021,江苏凤凰文艺出版社,平装,文学,小说
红楼梦,曹雪芹,59,1996,人民文学出版社,平装,文学,小说
追风筝的人,曹雪芹,59,1996,上海人民出版社,平装,文学,小说
百年孤独,曹雪芹,59,1996,南海出版公司,平装,文学,小说
小王子,马振聘,22,2003,人民文学出版社,平装,文学,小说
1984,马振聘,22,2003,北京十月文艺出版社,平装,文学,小说
夜晚的潜水艇,陈春成,52,2020,上海三联书店,精装,文学,小说
解忧杂货店,李盈春,39,2014,南海出版公司,精装,文学,小说
蛤蟆先生去看心理医生,罗伯特·戴博德,38,2020,天津人民出版社,平装,文学,小说
杏仁,孙元平,39,2019,民主与建设出版社,平装,文学,小说
局外人,柳鸣九,22,2010,上海译文出版社,精装,文学,小说
霍乱时期的爱情,加西亚·马尔克斯,39,2012,南海出版公司,精装,文学,小说
许三观卖血记,加西亚·马尔克斯,39,2012,作家出版社,精装,文学,小说
杀死一只知更鸟,高红梅,32,2012,译林出版社,精装,文学,小说
百年孤独,高红梅,32,2012,南海出版公司,精装,文学,小说
1984,石黑一雄,68,2021,北京十月文艺出版社,精装,文学,小说
追风筝的人,石黑一雄,68,2021,上海人民出版社,精装,文学,小说
飘,李美华,40,2000,译林出版社,精装,文学,小说
月亮与六便士,威廉·萨默塞特·毛姆,39,2017,浙江文艺出版社,平装,文学,小说
星之继承者,詹姆斯·P.霍根,58,2021,新星出版社,精装,文学,小说
傲慢与偏见,张玲,13,1993,人民文学出版社,平装,文学,小说
哈利·波特,J.K.罗琳,498,2008,人民文学出版社,精装,文学,小说
动物农场,荣如德,10,2007,上海译文出版社,平装,文学,小说
月亮和六便士,荣如德,10,2007,上海译文出版社,平装,文学,小说
献给阿尔吉侬的花束,丹尼尔·凯斯,36,2015,广西师范大学出版社,平装,文学,小说
巨人的陨落,肯·福莱特,129,2016,江苏凤凰文艺出版社,平装,文学,小说
巴黎评论·女性作家访谈,美国《巴黎评论》编辑部,65,2021,人民文学出版社,平装,文学,小说
牧羊少年奇幻之旅,保罗·柯艾略,25,2009,南海出版公司,精装,文学,小说
数星星的夜,尹东柱,68,2021,江苏凤凰文艺出版社,精装,文学,小说
你当像鸟飞往你的山,塔拉·韦斯特弗,59,2019,南海出版公司,精装,文学,小说
房思琪的初恋乐园,余华,59,2021,北京联合出版公司,精装,文学,小说
撒哈拉的故事,柳鸣九,22,2010,哈尔滨出版社,精装,文学,小说
