yr,sex,FirstForename,number,rank,position
2010,B,Jack,644,1,"    1"
2010,B,Lewis,566,2,"    2"
2010,B,James,459,3,"    3"
2010,B,Logan,443,4,"    4"
2010,B,Daniel,416,5,"    5"
2010,B,Ryan,407,6,"    6"
2010,B,Aaron,379,7,"    7"
2010,B,Oliver,371,8,"    8"
2010,B,Liam,366,9,"    9"
2010,B,Jamie,358,10,"   10"
2010,B,Ethan,334,11,"   11"
2010,B,Alexander,330,12,"   12"
2010,B,Cameron,328,13,"   13"
2010,B,Finlay,307,14,"   14="
2010,B,Kyle,307,14,"   14="
2010,B,Adam,303,16,"   16="
2010,B,Harry,303,16,"   16="
2010,B,Matthew,303,16,"   16="
2010,B,Callum,301,19,"   19"
2010,B,Lucas,298,20,"   20"
2010,B,Nathan,289,21,"   21"
2010,B,Aiden,288,22,"   22"
2010,B,Dylan,285,23,"   23"
2010,B,Charlie,281,24,"   24"
2010,B,Connor,267,25,"   25"
2010,B,Thomas,262,26,"   26"
2010,B,Alfie,245,27,"   27"
2010,B,Joshua,229,28,"   28"
2010,B,William,222,29,"   29"
2010,B,Jayden,213,30,"   30"
2010,B,Andrew,212,31,"   31="
2010,B,Kai,212,31,"   31="
2010,B,Max,206,33,"   33"
2010,B,Ben,190,34,"   34"
2010,B,Samuel,188,35,"   35"
2010,B,Luke,182,36,"   36"
2010,B,Tyler,179,37,"   37"
2010,B,Rory,178,38,"   38"
2010,B,David,175,39,"   39="
2010,B,Michael,175,39,"   39="
2010,B,Riley,175,39,"   39="
2010,B,Noah,169,42,"   42"
2010,B,Cole,164,43,"   43"
2010,B,Joseph,160,44,"   44"
2010,B,John,158,45,"   45"
2010,B,Archie,156,46,"   46="
2010,B,Jacob,156,46,"   46="
2010,B,Fraser,155,48,"   48"
2010,B,Rhys,152,49,"   49="
2010,B,Ross,152,49,"   49="
2010,B,Calum,145,51,"   51="
2010,B,Jay,145,51,"   51="
2010,B,Josh,142,53,"   53"
2010,B,Euan,140,54,"   54"
2010,B,Mason,139,55,"   55="
2010,B,Owen,139,55,"   55="
2010,B,Sam,138,57,"   57"
2010,B,Leo,136,58,"   58"
2010,B,Robert,135,59,"   59"
2010,B,Scott,134,60,"   60"
2010,B,Leon,127,61,"   61="
2010,B,Robbie,127,61,"   61="
2010,B,Benjamin,126,63,"   63"
2010,B,Caleb,125,64,"   64="
2010,B,Oscar,125,64,"   64="
2010,B,Harris,121,66,"   66"
2010,B,Murray,117,67,"   67"
2010,B,Sean,114,68,"   68"
2010,B,Christopher,111,69,"   69"
2010,B,Kieran,104,70,"   70"
2010,B,Aidan,103,71,"   71="
2010,B,Jake,103,71,"   71="
2010,B,Evan,102,73,"   73"
2010,B,Kayden,101,74,"   74"
2010,B,Arran,99,75,"   75"
2010,B,Angus,98,76,"   76="
2010,B,Brodie,98,76,"   76="
2010,B,Ewan,96,78,"   78"
2010,B,Muhammad,94,79,"   79"
2010,B,Alex,93,80,"   80"
2010,B,Declan,92,81,"   81"
2010,B,Finn,91,82,"   82"
2010,B,Blair,90,83,"   83"
2010,B,Ollie,89,84,"   84"
2010,B,Reece,88,85,"   85"
2010,B,Corey,85,86,"   86"
2010,B,Kian,83,87,"   87"
2010,B,Harrison,77,88,"   88"
2010,B,Taylor,74,89,"   89"
2010,B,Kaiden,73,90,"   90="
2010,B,Kenzie,73,90,"   90="
2010,B,Cody,72,92,"   92="
2010,B,Craig,72,92,"   92="
2010,B,Mohammed,72,92,"   92="
2010,B,Calvin,71,95,"   95"
2010,B,Mark,70,96,"   96"
2010,B,Jude,69,97,"   97"
2010,B,Luca,68,98,"   98"
2010,B,Ciaran,67,99,"   99="
2010,B,George,67,99,"   99="
2010,B,Zak,64,101,"  101"
2010,B,Zac,63,102,"  102"
2010,B,Charles,62,103,"  103"
2010,B,Gregor,61,104,"  104="
2010,B,Hamish,61,104,"  104="
2010,B,Isaac,61,104,"  104="
2010,B,Harvey,60,107,"  107"
2010,B,Shay,59,108,"  108="
2010,B,Struan,59,108,"  108="
2010,B,Lee,58,110,"  110="
2010,B,Steven,58,110,"  110="
2010,B,Joe,57,112,"  112="
2010,B,Lennon,57,112,"  112="
2010,B,Patrick,57,112,"  112="
2010,B,Jason,55,115,"  115"
2010,B,Louis,54,116,"  116="
2010,B,Olly,54,116,"  116="
2010,B,Bailey,53,118,"  118="
2010,B,Marcus,53,118,"  118="
2010,B,Peter,53,118,"  118="
2010,B,Sebastian,53,118,"  118="
2010,B,Gabriel,52,122,"  122="
2010,B,Jackson,52,122,"  122="
2010,B,Zack,52,122,"  122="
2010,B,Ashton,51,125,"  125"
2010,B,Brandon,48,126,"  126="
2010,B,Reuben,48,126,"  126="
2010,B,Theo,48,126,"  126="
2010,B,Paul,47,129,"  129"
2010,B,Conor,46,130,"  130="
2010,B,Hayden,46,130,"  130="
2010,B,Lachlan,46,130,"  130="
2010,B,Ruaridh,46,130,"  130="
2010,B,Innes,45,134,"  134"
2010,B,Stuart,44,135,"  135"
2010,B,Jordan,43,136,"  136="
2010,B,Sonny,43,136,"  136="
2010,B,Alan,42,138,"  138="
2010,B,Blake,42,138,"  138="
2010,B,Zachary,42,138,"  138="
2010,B,Cooper,41,141,"  141="
2010,B,Ellis,41,141,"  141="
2010,B,Caiden,40,143,"  143="
2010,B,Fergus,40,143,"  143="
2010,B,Jakub,40,143,"  143="
2010,B,Zach,40,143,"  143="
2010,B,Findlay,39,147,"  147"
2010,B,Alistair,38,148,"  148="
2010,B,Elliot,38,148,"  148="
2010,B,Harley,38,148,"  148="
2010,B,Anthony,37,151,"  151="
2010,B,Callan,37,151,"  151="
2010,B,Filip,37,151,"  151="
2010,B,Louie,37,151,"  151="
2010,B,Lyle,37,151,"  151="
2010,B,Mohammad,37,151,"  151="
2010,B,Brody,36,157,"  157="
2010,B,Cayden,36,157,"  157="
2010,B,Cian,36,157,"  157="
2010,B,Marc,36,157,"  157="
2010,B,Danny,35,161,"  161="
2010,B,Shaun,35,161,"  161="
2010,B,Austin,34,163,"  163="
2010,B,Joel,34,163,"  163="
2010,B,Nicholas,34,163,"  163="
2010,B,Rio,34,163,"  163="
2010,B,Rocco,34,163,"  163="
2010,B,Dean,33,168,"  168="
2010,B,Jonathan,33,168,"  168="
2010,B,Carson,32,170,"  170="
2010,B,Duncan,32,170,"  170="
2010,B,Mitchell,32,170,"  170="
2010,B,Ruairidh,32,170,"  170="
2010,B,Stephen,32,170,"  170="
2010,B,Dominic,31,175,"  175="
2010,B,Kerr,31,175,"  175="
2010,B,Edward,30,177,"  177="
2010,B,Lloyd,30,177,"  177="
2010,B,Mackenzie,30,177,"  177="
2010,B,Martin,30,177,"  177="
2010,B,Ali,29,181,"  181="
2010,B,Henry,29,181,"  181="
2010,B,Kevin,29,181,"  181="
2010,B,Tom,29,181,"  181="
2010,B,Alasdair,28,185,"  185="
2010,B,Billy,28,185,"  185="
2010,B,Freddie,28,185,"  185="
2010,B,Keir,27,188,"  188="
2010,B,Levi,27,188,"  188="
2010,B,Junior,26,190,"  190"
2010,B,Allan,25,191,"  191="
2010,B,Campbell,25,191,"  191="
2010,B,Darren,25,191,"  191="
2010,B,Drew,25,191,"  191="
2010,B,Oskar,25,191,"  191="
2010,B,Arron,24,196,"  196="
2010,B,Ayden,24,196,"  196="
2010,B,Douglas,24,196,"  196="
2010,B,Frederick,24,196,"  196="
2010,B,Gary,24,196,"  196="
2010,B,Seth,24,196,"  196="
2010,B,Bruce,23,202,"  202="
2010,B,Kaleb,23,202,"  202="
2010,B,Maxwell,23,202,"  202="
2010,B,Richard,23,202,"  202="
2010,B,Rowan,23,202,"  202="
2010,B,Toby,23,202,"  202="
2010,B,Xander,23,202,"  202="
2010,B,Alastair,22,209,"  209="
2010,B,Colin,22,209,"  209="
2010,B,Finley,22,209,"  209="
